brand	item_id	item_name	products	brand_total	scans	coverage	share
gerblé	cookies	Cookies	88	127	19674	0.77	0.9
coca-cola	cola	Cola	55	64	8478	0.88	0.98
gullón	cookies	Cookies	89	94	8187	0.95	1.0
barilla	pasta	Pasta	51	87	5373	0.68	0.86
heinz	ketchup	Ketchup	42	90	4902	0.64	0.72
kellogg's	breakfast_cereal	Breakfast Cereal	56	78	4872	0.97	0.74
bonne maman	cookies	Cookies	37	108	4259	0.48	0.71
st michel	cookies	Cookies	42	45	4245	0.96	0.98
pringles	potato_chips	Potato Chips	36	39	4063	0.92	1.0
sidi ali	mineral_water	Mineral Water	3	3	3842	1.0	1.0
nature valley	granola_bar	Granola Bar	39	42	3784	1.0	0.93
alpro	soy_milk	Soy Milk	30	79	3495	0.38	1.0
rigoni di asiago	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	11	16	3343	0.81	0.85
ferrero	chocolate_bar	Chocolate Bar	37	70	3007	0.83	0.64
brets	potato_chips	Potato Chips	31	32	2894	0.97	1.0
lustucru	pasta	Pasta	23	34	2734	0.68	1.0
lay's	potato_chips	Potato Chips	35	46	2605	0.87	0.88
kinder	chocolate_bar	Chocolate Bar	23	40	2421	0.82	0.7
lotus	cookies	Cookies	24	29	2400	0.86	0.96
maille	mustard	Mustard	16	36	2241	0.56	0.8
belvita	cookies	Cookies	21	22	2111	0.95	1.0
connétable	olive_oil	Olive Oil	26	46	2054	0.59	0.96
weetabix	breakfast_cereal	Breakfast Cereal	16	21	2049	1.0	0.76
mondelez	cookies	Cookies	6	13	1977	0.62	0.75
ain atlas	mineral_water	Mineral Water	2	2	1955	1.0	1.0
panzani	pasta	Pasta	32	77	1954	0.42	1.0
brossard	cookies	Cookies	19	19	1776	1.0	1.0
nutella	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	9	14	1689	0.79	0.82
sondey	cookies	Cookies	29	42	1687	0.79	0.88
menguy's	peanut_butter	Peanut Butter	4	7	1622	0.86	0.67
doritos	tortilla_chips	Tortilla Chips	22	30	1614	0.73	1.0
mulino bianco	cookies	Cookies	24	34	1596	0.71	1.0
henry's	cookies	Cookies	4	5	1553	1.0	0.8
excelo	cookies	Cookies	7	8	1387	0.88	1.0
rana	pasta	Pasta	18	18	1362	1.0	1.0
belin	cookies	Cookies	16	18	1355	0.89	1.0
lucien georgelin	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	9	33	1344	0.39	0.69
lindt	chocolate_bar	Chocolate Bar	23	71	1338	0.52	0.62
lindt & sprüngli	dark_chocolate	Dark Chocolate	3	6	1337	0.5	1.0
giovanni rana	pasta	Pasta	15	15	1298	1.0	1.0
sojasun	soy_milk	Soy Milk	16	30	1289	0.53	1.0
eat natural	granola_bar	Granola Bar	13	20	1276	0.8	0.81
primadonna	olive_oil	Olive Oil	12	13	1274	0.92	1.0
haribo	gummy_bears	Gummy Bears	24	44	1274	0.77	0.71
whole earth	peanut_butter	Peanut Butter	12	12	1202	1.0	1.0
philadelphia	cream_cheese	Cream Cheese	16	25	1198	0.64	1.0
terra delyssa	olive_oil	Olive Oil	11	11	1182	1.0	1.0
parmentier	olive_oil	Olive Oil	8	11	1167	0.73	1.0
tuc	cookies	Cookies	8	8	1133	1.0	1.0
carapelli	olive_oil	Olive Oil	11	14	1078	0.79	1.0
bénédicta	mayonnaise	Mayonnaise	14	20	1059	0.7	1.0
lindt excellence	dark_chocolate	Dark Chocolate	2	6	1033	0.5	0.67
ethiquable	dark_chocolate	Dark Chocolate	10	45	1033	0.33	0.67
terres et céréales	muesli	Muesli	6	8	988	0.88	0.86
volvic	mineral_water	Mineral Water	7	22	979	0.32	1.0
puget	olive_oil	Olive Oil	11	14	959	0.79	1.0
cuétara	cookies	Cookies	10	11	953	1.0	0.91
mcvitie's	cookies	Cookies	8	10	943	1.0	0.8
le moulin du pivert	cookies	Cookies	15	23	926	0.78	0.83
bisson	cookies	Cookies	17	18	924	0.94	1.0
favrichon	muesli	Muesli	13	20	905	0.9	0.72
karéléa	cookies	Cookies	13	14	899	1.0	0.93
evian	mineral_water	Mineral Water	6	7	890	0.86	1.0
lesieur	mayonnaise	Mayonnaise	10	23	885	0.48	0.91
nairn's	cookies	Cookies	14	14	883	1.0	1.0
ker cadélac	cookies	Cookies	11	11	882	1.0	1.0
mars	chocolate_bar	Chocolate Bar	15	17	880	0.88	1.0
skippy	peanut_butter	Peanut Butter	8	8	851	1.0	1.0
hellmann's	mayonnaise	Mayonnaise	12	13	799	1.0	0.92
tyrell’s	potato_chips	Potato Chips	2	2	793	1.0	1.0
j. d. gross	dark_chocolate	Dark Chocolate	3	8	743	0.5	0.75
tanoshi	pasta	Pasta	10	19	736	0.53	1.0
nutella biscuits	cookies	Cookies	2	2	733	1.0	1.0
special k	breakfast_cereal	Breakfast Cereal	8	8	732	1.0	1.0
oreo	cookies	Cookies	9	10	726	1.0	0.9
rummo	pasta	Pasta	8	13	726	0.62	1.0
dorset cereals	muesli	Muesli	9	9	696	1.0	1.0
le ster	cookies	Cookies	9	11	688	0.82	1.0
sojade	soy_milk	Soy Milk	10	14	673	0.71	1.0
bret's	potato_chips	Potato Chips	9	9	660	1.0	1.0
dr. oetker	pretzel	Pretzel	4	14	622	0.43	0.67
maruja	chocolate_bar	Chocolate Bar	2	2	619	1.0	1.0
sante	muesli	Muesli	8	13	617	1.0	0.62
brun	cookies	Cookies	3	3	597	1.0	1.0
la mère poulard	cookies	Cookies	5	5	591	1.0	1.0
pepsi	cola	Cola	7	9	583	0.78	1.0
suzi wan	pasta	Pasta	8	24	578	0.33	1.0
combino	pasta	Pasta	11	23	572	0.48	1.0
galbusera	cookies	Cookies	11	11	569	1.0	1.0
m&m's	chocolate_bar	Chocolate Bar	10	10	565	1.0	1.0
yum yum	pasta	Pasta	4	4	559	1.0	1.0
rians	cream_cheese	Cream Cheese	5	14	553	0.43	0.83
go nuts	peanut_butter	Peanut Butter	4	7	545	0.86	0.67
terres & céréales bio	muesli	Muesli	3	6	540	0.83	0.6
nissin	pasta	Pasta	11	11	535	1.0	1.0
snickers	chocolate_bar	Chocolate Bar	6	8	534	0.75	1.0
granola	cookies	Cookies	4	5	531	1.0	0.8
cristaline	mineral_water	Mineral Water	4	13	506	0.31	1.0
delacre	cookies	Cookies	9	12	498	1.0	0.75
deliciously ella	granola_bar	Granola Bar	9	12	498	1.0	0.75
saint jean	pasta	Pasta	7	11	494	0.64	1.0
coke zero	cola	Cola	2	2	492	1.0	1.0
monini	olive_oil	Olive Oil	5	5	492	1.0	1.0
ivoria	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	6	17	490	0.47	0.75
toblerone	chocolate_bar	Chocolate Bar	6	6	483	1.0	1.0
balconi	cookies	Cookies	8	9	481	0.89	1.0
charles vignon	muesli	Muesli	5	7	479	0.86	0.83
saguaro	mineral_water	Mineral Water	9	13	477	0.69	1.0
badoit	mineral_water	Mineral Water	4	12	475	0.33	1.0
mcennedy	peanut_butter	Peanut Butter	3	9	474	0.33	1.0
florbú	cookies	Cookies	7	8	453	0.88	1.0
samyang	pasta	Pasta	5	5	453	1.0	1.0
biotiful gut health	fruit_kefir	Fruit Kefir	5	5	441	1.0	1.0
cebon	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	3	3	439	1.0	1.0
curly	cookies	Cookies	3	4	434	1.0	0.75
vittel	mineral_water	Mineral Water	3	4	429	0.75	1.0
gullon	cookies	Cookies	6	8	425	0.88	0.86
cruesli	breakfast_cereal	Breakfast Cereal	3	4	421	1.0	0.75
de cecco	pasta	Pasta	5	7	418	0.86	0.83
magnum	chocolate_bar	Chocolate Bar	6	16	404	0.38	1.0
jif	peanut_butter	Peanut Butter	7	7	401	1.0	1.0
nākd	granola_bar	Granola Bar	3	8	397	0.5	0.75
kellog's	breakfast_cereal	Breakfast Cereal	2	2	396	1.0	1.0
kambly	cookies	Cookies	6	7	390	1.0	0.86
bio&me	muesli	Muesli	4	4	381	1.0	1.0
tyrrell's	potato_chips	Potato Chips	4	4	379	1.0	1.0
walkers	potato_chips	Potato Chips	7	13	363	0.85	0.64
choco nussa	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	3	3	358	1.0	1.0
jean hervé	peanut_butter	Peanut Butter	3	13	353	0.31	0.75
artiach	cookies	Cookies	8	8	349	1.0	1.0
kraft	peanut_butter	Peanut Butter	4	6	341	1.0	0.67
michel et augustin	cookies	Cookies	7	14	340	0.79	0.64
rivercote	cookies	Cookies	5	9	337	0.56	1.0
nocilla	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	5	6	336	0.83	1.0
caprice des dieux	cream_cheese	Cream Cheese	3	8	328	0.38	1.0
cheetos	cookies	Cookies	3	7	327	0.43	1.0
gran cereale	cookies	Cookies	4	6	327	1.0	0.67
alpen	muesli	Muesli	3	3	323	1.0	1.0
meridian	peanut_butter	Peanut Butter	4	6	321	0.67	1.0
prozis	peanut_butter	Peanut Butter	5	9	318	0.78	0.71
t&c terres & céréales bio	muesli	Muesli	3	3	315	1.0	1.0
noiseraie	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	6	8	315	0.75	1.0
pavesi	cookies	Cookies	4	4	312	1.0	1.0
nutella b-ready	chocolate_bar	Chocolate Bar	2	2	309	1.0	1.0
lutti	gummy_bears	Gummy Bears	5	8	304	1.0	0.62
britannia	cookies	Cookies	3	3	300	1.0	1.0
fin carré	dark_chocolate	Dark Chocolate	3	13	299	0.31	0.75
misura	cookies	Cookies	6	8	297	0.88	0.86
contrex	mineral_water	Mineral Water	2	2	294	1.0	1.0
biscoff	cookies	Cookies	4	4	294	1.0	1.0
tower gate	cookies	Cookies	6	6	291	1.0	1.0
hipro	drinking_yogurt	Drinking Yogurt	2	4	282	0.5	1.0
coca cola	cola	Cola	3	5	281	0.6	1.0
proper corn	popcorn	Popcorn	4	4	278	1.0	1.0
courmayeur	mineral_water	Mineral Water	2	2	277	1.0	1.0
maretti	cookies	Cookies	4	4	275	1.0	1.0
arluy	cookies	Cookies	2	2	275	1.0	1.0
pastoret	fruit_kefir	Fruit Kefir	3	5	275	0.6	1.0
general mills	breakfast_cereal	Breakfast Cereal	6	11	274	0.73	0.75
favorina	cookies	Cookies	5	6	274	1.0	0.83
green & black's	dark_chocolate	Dark Chocolate	2	3	272	0.67	1.0
cevital	mineral_water	Mineral Water	2	3	271	0.67	1.0
bounty	chocolate_bar	Chocolate Bar	4	5	268	1.0	0.8
idilia foods	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	4	4	268	1.0	1.0
trek	granola_bar	Granola Bar	5	6	266	1.0	0.83
kallo	cookies	Cookies	2	3	265	1.0	0.67
alsa	cookies	Cookies	6	19	265	0.32	1.0
harry's	cookies	Cookies	2	5	262	0.4	1.0
vitasia	pasta	Pasta	5	10	261	0.5	1.0
twix	chocolate_bar	Chocolate Bar	4	5	261	1.0	0.8
biscuiterie de l'abbaye	cookies	Cookies	2	2	257	1.0	1.0
le trésor des dieux	olive_oil	Olive Oil	4	4	255	1.0	1.0
j favrichon	muesli	Muesli	3	4	254	1.0	0.75
actimel	drinking_yogurt	Drinking Yogurt	4	5	251	0.8	1.0
novi	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	3	4	251	1.0	0.75
mars wrigley	chocolate_bar	Chocolate Bar	2	2	245	1.0	1.0
fiorini	pasta	Pasta	5	11	243	0.45	1.0
phare d'eckmühl	olive_oil	Olive Oil	5	19	241	0.32	0.83
exquisa	cream_cheese	Cream Cheese	5	5	237	1.0	1.0
tartare	cream_cheese	Cream Cheese	2	3	235	0.67	1.0
mont blanc	mineral_water	Mineral Water	2	4	235	0.5	1.0
le jardin de corentin	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	2	2	233	1.0	1.0
müller	fruit_kefir	Fruit Kefir	2	6	232	0.5	0.67
rxbar	granola_bar	Granola Bar	4	4	231	1.0	1.0
pip & nut	peanut_butter	Peanut Butter	3	7	231	0.57	0.75
alpina	pasta	Pasta	3	4	229	0.75	1.0
l'artisan tartineur	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	3	3	229	1.0	1.0
maison colibri	cookies	Cookies	5	5	228	1.0	1.0
lizi's	muesli	Muesli	3	3	228	1.0	1.0
nongshim	pasta	Pasta	4	4	226	1.0	1.0
yeo valley	fruit_kefir	Fruit Kefir	5	15	224	0.4	0.83
fitness	breakfast_cereal	Breakfast Cereal	2	2	224	1.0	1.0
ebro foods	pasta	Pasta	3	4	222	0.75	1.0
petits filous pots	cream_cheese	Cream Cheese	3	3	220	1.0	1.0
