term	lang	item_id	item_name	products	share	items
rice krispies	en	breakfast_cereal	Breakfast Cereal	9	1.0	1
shredded wheat	en	breakfast_cereal	Breakfast Cereal	8	1.0	1
special	en	breakfast_cereal	Breakfast Cereal	6	1.0	1
honey nut cheerios	en	breakfast_cereal	Breakfast Cereal	5	1.0	1
shreddies	en	breakfast_cereal	Breakfast Cereal	5	1.0	1
cinnamon toast crunch	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
choco hoops	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
honey hoops	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
special flakes	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
all-bran fibre plus	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
rice snaps	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
chocapic	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
raisin bran	en	breakfast_cereal	Breakfast Cereal	4	1.0	1
special	es	breakfast_cereal	Breakfast Cereal	5	1.0	1
chocapic	es	breakfast_cereal	Breakfast Cereal	5	1.0	1
nestle céréales	fr	breakfast_cereal	Breakfast Cereal	12	1.0	1
céréales petit déjeuner	fr	breakfast_cereal	Breakfast Cereal	4	1.0	1
coco pops	fr	breakfast_cereal	Breakfast Cereal	4	1.0	1
nestle	fr	breakfast_cereal	Breakfast Cereal	4	1.0	1
chocapic	fr	breakfast_cereal	Breakfast Cereal	4	1.0	1
schoko-bons	de	chocolate_bar	Chocolate Bar	5	1.0	1
gefüllte vollmilchschokolade mit milchfüllung	de	chocolate_bar	Chocolate Bar	4	1.0	1
bueno	en	chocolate_bar	Chocolate Bar	9	1.0	1
schoko-bons	en	chocolate_bar	Chocolate Bar	5	1.0	1
peanut m m's	en	chocolate_bar	Chocolate Bar	4	1.0	1
bueno white	en	chocolate_bar	Chocolate Bar	4	1.0	1
maltesers	en	chocolate_bar	Chocolate Bar	4	1.0	1
bueno	es	chocolate_bar	Chocolate Bar	5	1.0	1
bueno	fr	chocolate_bar	Chocolate Bar	7	1.0	1
lindor lait	fr	chocolate_bar	Chocolate Bar	5	1.0	1
lindor	fr	chocolate_bar	Chocolate Bar	5	1.0	1
m m's peanut	fr	chocolate_bar	Chocolate Bar	5	1.0	1
schoko-bons	fr	chocolate_bar	Chocolate Bar	5	1.0	1
orangettes	fr	chocolate_bar	Chocolate Bar	4	1.0	1
rocher	fr	chocolate_bar	Chocolate Bar	4	1.0	1
nuss-nugat-creme	de	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	7	1.0	1
hazelnut spread with cocoa	en	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	8	1.0	1
hazelnut chocolate spread	en	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	8	1.0	1
nocciolata	fr	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	4	1.0	1
spezi	de	cola	Cola	7	1.0	1
coca cola	de	cola	Cola	6	1.0	1
coca cola	en	cola	Cola	11	1.0	1
coke	en	cola	Cola	8	1.0	1
spezi	en	cola	Cola	4	1.0	1
coca cola	fr	cola	Cola	13	1.0	1
coke	fr	cola	Cola	4	1.0	1
gewürz-spekulatius	de	cookies	Cookies	5	1.0	1
cream crackers	en	cookies	Cookies	14	1.0	1
biscoff	en	cookies	Cookies	11	1.0	1
digestives	en	cookies	Cookies	10	1.0	1
digestive	en	cookies	Cookies	9	1.0	1
speculoos	en	cookies	Cookies	8	1.0	1
baked snack crackers	en	cookies	Cookies	6	1.0	1
oatcakes	en	cookies	Cookies	6	1.0	1
multigrain crackers	en	cookies	Cookies	6	1.0	1
petites madeleines	en	cookies	Cookies	6	1.0	1
bourbon creams	en	cookies	Cookies	6	1.0	1
all butter shortbread fingers	en	cookies	Cookies	5	1.0	1
chocolate sandwich cookies	en	cookies	Cookies	4	1.0	1
ginger nuts	en	cookies	Cookies	4	1.0	1
madeleines	en	cookies	Cookies	4	1.0	1
custard creams	en	cookies	Cookies	4	1.0	1
chocolate cookies	en	cookies	Cookies	4	1.0	1
shortbread fingers	en	cookies	Cookies	4	1.0	1
digestive avena	es	cookies	Cookies	8	1.0	1
digestive	es	cookies	Cookies	8	1.0	1
campurrianas	es	cookies	Cookies	6	1.0	1
bizcochos de soletilla	es	cookies	Cookies	5	1.0	1
speculoos	es	cookies	Cookies	4	1.0	1
biscoff	es	cookies	Cookies	4	1.0	1
galletas digestive	es	cookies	Cookies	4	1.0	1
dinosaurus	es	cookies	Cookies	4	1.0	1
tortas de aceite	es	cookies	Cookies	4	1.0	1
maría dorada	es	cookies	Cookies	4	1.0	1
madeleines	fr	cookies	Cookies	16	1.0	1
speculoos	fr	cookies	Cookies	16	1.0	1
galettes pur beurre	fr	cookies	Cookies	13	1.0	1
madeleine	fr	cookies	Cookies	12	1.0	1
palmiers	fr	cookies	Cookies	12	1.0	1
galettes bretonnes	fr	cookies	Cookies	12	1.0	1
palets bretons	fr	cookies	Cookies	12	1.0	1
galettes bretonnes pur beurre	fr	cookies	Cookies	11	1.0	1
boudoirs	fr	cookies	Cookies	11	1.0	1
biscuits feuilletés	fr	cookies	Cookies	10	1.0	1
palets bretons pur beurre	fr	cookies	Cookies	10	1.0	1
quatre-quarts pur beurre	fr	cookies	Cookies	10	1.0	1
